Screenname,Legacy_Verified,Follower_Count,Subscription_Date,Status
puzkas,V,307892,12/16/2022,B
gregisenberg,V,307765,12/22/2022,B
LawrenceBJones3,V,306936,2/3/2023,B
RedState,V,306932,12/22/2022,B
BDisgusting,V,306914,2/1/2023,B
johncardillo,V,306883,1/19/2023,B
gehrig38,V,306833,12/31/2022,B
jakeshieldsajj,V,306434,1/17/2023,B
heydave7,V,306103,1/18/2023,B
Alainlobog,V,304998,12/16/2022,B
dmorey,V,304840,12/29/2022,B
tomkilbey,V,304587,1/10/2023,B
kylenabecker,V,303786,1/11/2023,B
P_Fiala,V,303759,2/5/2023,B
GoodmanHoops,V,303291,1/6/2023,B
UncleLouie,V,303108,12/23/2022,U
EbanieBridges,V,302070,12/30/2022,B
MrTLexify,V,300469,11/10/2022,B
DrDenaGrayson,V,300044,1/13/2023,B
crypto_rand,V,299786,2/3/2023,B
NikkiFried,V,299211,1/19/2023,B
mtracey,V,298980,1/11/2023,B
robbystarbuck,V,298719,12/29/2022,B
JustinWhang,V,298329,1/19/2023,B
nfldraftscout,V,297885,1/27/2023,B
mspears96,V,297417,1/1/2023,B
IamTabithaBrown,V,296684,1/13/2023,B
gmoneyNFT,V,296089,12/14/2022,B
DominicScott,V,294962,1/1/2023,B
AlexHormozi,V,294782,1/5/2023,B
kreptplaydirty,V,294088,12/30/2022,B
Immutable,V,293042,1/13/2023,B
FraserNelson,V,292374,12/22/2022,B
AdrianneCurry,V,292291,1/26/2023,B
mcten,V,291868,1/13/2023,B
guyzo,V,291081,1/27/2023,B
JoJoWright,V,290469,1/15/2023,B
JoshShapiroPA,V,289913,11/10/2022,B
jasonfried,V,289341,12/23/2022,B
sankakujougi,V,288884,2/1/2023,B
garrytan,V,287923,12/7/2022,B
tobi,V,287907,2/1/2023,B
natbrunell,V,287870,11/10/2022,B
rumblevideo,V,287250,12/17/2022,B
markgurman,V,285468,1/19/2023,B
SaraGonzalesTX,V,285301,1/19/2023,B
howardlindzon,V,282775,2/3/2023,B
JonGordon11,V,282719,1/19/2023,B
JeffDarlington,V,281141,12/22/2022,B
HollowPoiint,V,280998,11/10/2022,U
SFist,V,280864,12/17/2022,B
HotepJesus,V,280403,1/19/2023,B
hedera,V,280123,12/30/2022,B
TrendSpider,V,279665,12/22/2022,B
ShamaJunejo,V,277938,11/10/2022,B
QuantaMagazine,V,276886,1/13/2023,B
votevets,V,276792,1/20/2023,B
JonAcuff,V,276665,12/22/2022,B
m_kumagai,V,276141,1/15/2023,B
sweatystartup,V,275818,1/23/2023,B
TheRealTyceno,V,274483,12/1/2022,B
andrewklavan,V,273677,11/10/2022,B
Billy,V,272826,1/18/2023,B
g_almuftah,V,271382,1/10/2023,U
JordanUhl,V,271084,1/27/2023,B
NicoleArbour,V,270707,11/10/2022,B
BillFOXLA,V,270408,12/31/2022,B
hnshah,V,270291,12/23/2022,B
1funnymike,V,269758,1/20/2023,B
shawnsharma25,V,269525,12/31/2022,B
TuckerMax,V,269247,1/14/2023,B
LouiseMensch,V,269199,12/22/2022,B
FANGORIA,V,267829,1/18/2023,B
AsemEcono,V,267562,1/13/2023,B
Everytown,V,267237,12/22/2022,B
EmpireStateBldg,V,266734,1/5/2023,B
MorissaSchwartz,V,266214,12/15/2022,B
consequence,V,266206,1/13/2023,B
fandybtw,V,266202,1/21/2023,B
AcalaNetwork,V,266175,12/14/2022,B
majed_i,V,265411,1/14/2023,B
AstronomyMag,V,265073,1/27/2023,B
Jkylebass,V,265007,12/22/2022,B
DavidBegnaud,V,264647,1/20/2023,U
renatobarrosbr,V,263955,11/10/2022,B
TostevinM,V,263291,1/20/2023,B
HAVELSANResmi,V,263290,1/10/2023,B
TrevonDiggs,V,262035,1/27/2023,B
kharaguchi,V,261977,1/27/2023,B
KingJosiah54,V,261859,12/14/2022,B
ColumbusShort1,V,261678,1/15/2023,B
i_wrap_official,V,261009,1/14/2023,B
B_Real,V,259982,12/23/2022,B
JGQuintel,V,259353,12/7/2022,B
XCorvus777,V,259037,11/10/2022,B
GhostGaming,V,258563,12/31/2022,B
AussieAntics,V,258242,12/23/2022,B
JimHarris,V,258065,12/22/2022,B
hbkr,V,258049,1/28/2023,U
minowanowa,V,257933,1/14/2023,B
sandikrakowski,V,257189,11/15/2022,B
VPrasadMDMPH,V,256511,12/29/2022,B
Tasnimnews_Fa,V,256065,1/13/2023,B
MissPiggy,V,255650,12/17/2022,B
Excellion,V,255596,1/13/2023,B
kensuu,V,255340,1/14/2023,B
EliGE,V,255216,1/15/2023,B
CalgaryPolice,V,254507,1/5/2023,B
BanklessHQ,V,254302,1/19/2023,B
Melt_Dem,V,254293,1/13/2023,B
AynRandPaulRyan,V,254107,12/22/2022,B
TheRealKeean,V,253938,1/26/2023,B
reformparty_uk,V,253144,2/3/2023,B
darrengrimes_,V,253049,11/10/2022,B
BobbyMarks42,V,251800,12/23/2022,B
JesusVallejo,V,251443,1/10/2023,B
patrick_oshag,V,250659,11/10/2022,B
